Trades_Closed,Monthly_PnL_Dollar,Win_Rate_Pct,Best_Trade_Pct,Portfolio_Value,Month,Month_Return_Pct
4,-3940.4,0.0,-4.49,96059.601,2022-01,-3.94
5,-2403.89,20.0,4.24,93655.71049118988,2022-04,-2.4
8,-1589.6700000000005,37.5,10.0,93302.58315996092,2022-08,-1.59
2,2218.55,100.0,7.9,94284.59284771951,2022-09,2.22
4,-596.28,25.0,10.0,96641.70766891251,2022-11,-0.6
9,4391.17,55.6,10.0,98584.20599305765,2022-12,4.39
4,-866.1600000000001,25.0,5.68,97213.30947085365,2023-01,-0.87
7,128.2500000000001,28.6,10.0,95645.0541200624,2023-02,0.13
3,-1696.52,0.0,0.0,96591.65231272712,2023-03,-1.7
1,-512.92,0.0,-2.14,95359.29479408631,2023-04,-0.51
3,-1492.48,33.3,0.95,98682.54237783652,2023-05,-1.49
2,1695.3,100.0,10.0,103499.31140417885,2023-06,1.7
6,1426.2799999999997,33.3,16.9,100115.29607138701,2023-07,1.43
2,-1251.19,0.0,-2.46,98494.67971623145,2023-08,-1.25
2,2344.4300000000003,50.0,11.89,97854.46429807594,2023-09,2.34
2,844.8100000000001,50.0,10.0,111899.30422175697,2023-11,0.84
10,7859.85,70.0,10.0,139263.15774432317,2023-12,7.86
17,15310.51,58.8,15.15,155081.41183573156,2024-01,15.31
5,14254.02,100.0,13.18,128151.38126098432,2024-02,14.25
7,34099.3,71.4,47.76,170222.93732072823,2024-03,34.1
1,-1612.86,0.0,-3.79,168610.07498961434,2024-04,-1.61
1,2810.17,100.0,10.0,171420.24290610792,2024-05,2.81
3,6175.9800000000005,66.7,15.1,190832.72440025304,2024-07,6.18
2,11328.17,50.0,46.33,184656.7426625079,2024-08,11.33
3,-4015.83,0.0,-1.65,186263.63317780115,2024-09,-4.02
6,4365.67,50.0,10.0,207700.5817277915,2024-10,4.37
12,12005.990000000002,41.7,10.0,216504.2658356646,2024-11,12.01
8,13953.49,87.5,10.52,229039.38581796267,2024-12,13.95
1,13805.68,100.0,29.18,211570.4154025301,2025-01,13.81
2,-3883.3,0.0,-2.81,225156.08029126556,2025-02,-3.88
