ticker,analysis_date,current_price,score,max_score,quality,market_context.spy_price,market_context.spy_50w_sma,market_context.spy_above_50w,market_context.market_state,market_context.warning,fundamentals.eps_growth_yoy,fundamentals.rev_growth_yoy,fundamentals.net_margin_pct,fundamentals.gross_margin_pct,fundamentals.eps_5yr_cagr,fundamentals.margin_pass,fundamentals.eps_pass,fundamentals.rev_pass,fundamentals.data_quality,fundamentals.industry,fundamentals.sector,fundamentals.margin_note,fundamentals.distortion_note,fundamentals.error_detail,relative_strength.rs_4w,relative_strength.rs_13w,relative_strength.rs_26w,relative_strength.rs_52w,relative_strength.rs_line_current,relative_strength.rs_52w_high,relative_strength.rs_at_52w_high,relative_strength.leading_rs,stage2.confirmed,stage2.sma30w,stage2.current_price,stage2.sma30w_rising,stage2.pct_above_30w_sma,stage2.pct_from_52w_high,stage2.pct_above_52w_low,stage2.prior_uptrend,stage2.high_52w,stage2.low_52w,base.pattern,base.length_weeks,base.depth_pct,base.base_high,base.base_high_date,base.base_low,base.base_low_date,base.pass_depth,base.vcp_swings,base.vcp_contracting,volume.avg_vol_up_weeks,volume.avg_vol_down_weeks,volume.accumulation_ratio,volume.accumulation_pass,volume.vol_dry_pct,volume.vol_dry_pass,tightness.tight_area_count,tightness.last_tight_date,tightness.first_30d_avg_range_pct,tightness.last_30d_avg_range_pct,tightness.volatility_contraction_pct,tightness.volatility_contracting,tightness.tight_area_pass,priming.inside_bars,priming.upside_reversals,priming.tight_setup_days,priming.best_signal,support.primary_support,entry.pivot_price,entry.already_broken_out,entry.entry1.trigger,entry.entry1.stop,entry.entry1.risk_pct,entry.entry1.signal_type,entry.entry1.signal_date,entry.entry1.status,entry.entry1.sizing_per_500_risk.shares,entry.entry1.sizing_per_500_risk.position_value,entry.entry2.trigger,entry.entry2.stop,entry.entry2.risk_pct,entry.entry2.vol_required,entry.entry2.status,entry.entry2.breakout_date,entry.entry2.breakout_vol_ratio,entry.entry2.sizing_per_500_risk.shares,entry.entry2.sizing_per_500_risk.position_value,entry.stop_levels.ema10,entry.stop_levels.ema21,entry.stop_levels.sma50,entry.stop_levels.primary_support,entry.stop_levels.ema10_dist_pct,entry.stop_levels.ema21_dist_pct,entry.stop_levels.sma50_dist_pct,entry.stop_levels.support_dist_pct,entry.stop_levels.ema10_state,entry.stop_levels.ema21_state,entry.stop_levels.sma50_state,entry.stop_levels.recommendation_if_in_entry1,entry.stop_levels.recommendation_if_in_entry2,entry.stop_levels.recommendation_reason,entry.stop_levels.hard_stop_from_e1,entry.stop_levels.hard_stop_from_e2,climax.climax_warning,climax.gain_5w_pct,climax.vol_surge_ratio,climax.close_position_pct
ADEA,2026-03-20,23.21,6,11,NOT_READY,648.6,641.4,True,UPTREND,,103.1,53.3,25.1,,106.7,True,True,True,OK,Software - Application,Technology,,,,18.9,46.2,41.2,50.8,0.0358,0.0358,True,True,True,16.77,23.21,True,38.4,-2.5,122.2,True,23.8,10.45,Unclear,1,0.0,23.21,2026-03-16,23.21,2026-03-16,True,"[None, None, None]",False,,,,False,,False,0,,4.1,4.51,10.0,False,False,[],"[{'date': '2026-03-09', 'close_position_pct': 98.2}, {'date': '2026-03-11', 'close_position_pct': 72.7}, {'date': '2026-03-19', 'close_position_pct': 73.3}, {'date': '2026-03-20', 'close_position_pct': 70.1}]",[],UPSIDE_REVERSAL,23.06,23.21,False,23.4,23.06,1.5,UPSIDE_REVERSAL,2026-03-20,WATCHING,1470.6,34412.0,23.33,22.51,3.5,≥1.5x 50-day average,WATCHING,,,609.8,14227.0,22.74,21.73,19.83,23.06,2.1,6.8,17.0,0.7,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,21.64,21.58,False,,,
ADTN,2026-03-20,11.46,4,11,AVOID,648.6,641.4,True,UPTREND,,-96.6,20.1,-4.2,,,False,False,True,OK,Communication Equipment,Technology,,,,18.8,39.4,25.6,9.4,0.0177,0.0177,True,True,True,9.24,11.46,True,24.1,-6.8,65.4,True,12.29,6.93,Unclear,1,0.0,11.46,2026-03-16,11.46,2026-03-16,True,"[None, None, None]",False,,,,False,,False,0,2025-12-26,3.91,5.07,29.7,False,False,[],"[{'date': '2026-03-09', 'close_position_pct': 90.2}, {'date': '2026-03-10', 'close_position_pct': 82.0}, {'date': '2026-03-11', 'close_position_pct': 89.7}, {'date': '2026-03-16', 'close_position_pct': 100.0}]",[],UPSIDE_REVERSAL,11.31,11.46,True,,,,,,NOT_AVAILABLE,,,11.52,11.12,3.5,≥1.5x 50-day average,TRIGGERED_STRONG_VOL,2026-03-18,2.07,1250.0,14400.0,10.87,10.48,9.9,11.31,5.4,9.4,15.8,1.3,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,10.66,False,13.8,1.62,62.6
AL,2026-03-20,64.61,5,11,NOT_READY,648.6,641.4,True,UPTREND,,81.9,15.1,36.1,,80.9,True,True,False,OK,Rental & Leasing Services,Industrials,,,,5.8,7.5,4.2,15.4,0.0996,0.0996,True,True,True,63.65,64.61,True,1.5,-0.4,71.3,True,64.85,37.71,Unclear,5,-0.6,64.69,2026-02-16,64.3,2026-03-02,True,"[None, None, None]",False,14640534.0,12317800.0,1.19,True,94.9,False,2,2025-12-31,0.16,0.21,31.2,False,True,[],[],[],,64.61,64.69,False,,,,,,NOT_AVAILABLE,,,65.01,62.75,3.5,≥1.5x 50-day average,WATCHING,,,221.2,14380.0,64.62,64.6,64.43,64.61,-0.0,0.0,0.3,0.0,2_CLOSES_BELOW,ABOVE,ABOVE,REDUCE_25_TO_33_PCT,REDUCE_25_TO_33_PCT,2 consecutive closes below EMA10,,60.13,False,,,
ANAB,2026-03-20,62.37,4,11,AVOID,648.6,641.4,True,UPTREND,,-319.4,151.1,-5.6,,,False,False,True,OK,Biotechnology,Healthcare,,,,19.8,32.5,169.1,179.5,0.0962,0.0979,True,True,True,41.56,62.37,True,50.1,-8.8,305.0,True,68.39,15.4,Unclear,2,-3.8,64.81,2026-03-09,62.37,2026-03-16,True,"[None, None, None]",False,,4092358.0,,False,,False,0,2025-12-26,5.84,6.66,14.0,False,False,[],"[{'date': '2026-03-17', 'close_position_pct': 79.5}]",[],UPSIDE_REVERSAL,61.61,64.81,False,68.39,61.61,9.9,UPSIDE_REVERSAL,2026-03-17,WATCHING,73.7,5040.0,65.13,62.87,3.5,≥1.5x 50-day average,WATCHING,,,221.2,14407.0,63.04,60.25,53.61,61.61,-1.1,3.5,16.3,1.2,1_CLOSE_BELOW,ABOVE,ABOVE,WATCH,WATCH,1 close below EMA10 — monitor closely,63.26,60.25,False,,,
AR,2026-03-20,43.09,5,11,NOT_READY,648.6,641.4,True,UPTREND,,29.2,11.7,12.3,,29.9,True,True,False,OK,Oil & Gas E&P,Energy,,,,23.8,34.7,28.5,-7.8,0.0664,0.0743,False,False,True,34.46,43.09,True,25.1,-2.9,48.1,True,44.37,29.1,Cup with Handle,40,-29.7,43.78,2025-06-16,30.78,2025-10-13,True,"[29.5, 16.2, 27.2]",False,25099234.0,26743941.0,0.94,False,15.5,False,0,2025-12-24,3.44,3.99,16.0,False,False,[],"[{'date': '2026-03-13', 'close_position_pct': 96.7}, {'date': '2026-03-18', 'close_position_pct': 81.1}]",[],UPSIDE_REVERSAL,43.02,43.78,False,,,,,,NOT_AVAILABLE,,,44.0,42.47,3.5,≥1.5x 50-day average,WATCHING,,,326.8,14379.0,40.98,39.13,35.74,43.02,5.1,10.1,20.6,0.2,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,40.7,False,,,
AAOI,2026-03-20,87.54,4,11,AVOID,648.6,641.4,True,UPTREND,,-98.8,33.9,-8.4,,,False,False,True,OK,Communication Equipment,Technology,,,,9.9,150.7,245.6,353.9,0.135,0.1462,False,False,True,40.19,87.54,True,117.8,-32.1,801.5,True,128.96,9.71,Unclear,2,-9.6,96.81,2026-03-09,87.54,2026-03-16,True,"[None, None, None]",False,,66128389.0,,False,,False,0,,10.5,11.86,13.0,False,False,[],"[{'date': '2026-03-09', 'close_position_pct': 98.5}, {'date': '2026-03-11', 'close_position_pct': 87.1}]",[],UPSIDE_REVERSAL,85.08,96.81,False,128.96,85.08,34.0,UPSIDE_REVERSAL,2026-03-11,WATCHING,11.4,1470.0,97.29,93.91,3.5,≥1.5x 50-day average,WATCHING,,,147.9,14389.0,95.44,87.86,61.03,85.08,-8.3,-0.4,43.4,2.9,1_CLOSE_BELOW,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,119.29,89.99,False,,,
RCUS,2026-03-20,21.64,6,11,NOT_READY,648.6,641.4,True,UPTREND,,27.0,26.9,-142.9,,,False,True,True,OK,Biotechnology,Healthcare,,,,12.4,-0.2,71.5,125.0,0.0334,0.0383,False,False,True,19.16,21.64,True,12.9,-18.0,232.9,True,26.4,6.5,Cup with Handle,17,-27.5,26.1,2025-11-24,18.92,2026-02-09,True,"[17.5, 9.8, 14.4]",False,6818412.0,7261854.0,0.94,False,-44.5,True,0,,5.51,5.94,7.8,False,False,[],"[{'date': '2026-03-09', 'close_position_pct': 97.1}]",[],UPSIDE_REVERSAL,21.59,26.1,False,23.49,21.59,8.1,UPSIDE_REVERSAL,2026-03-09,WATCHING,263.2,6183.0,26.23,25.32,3.5,≥1.5x 50-day average,WATCHING,,,549.5,14413.0,22.34,22.09,21.61,21.59,-3.1,-2.0,0.1,0.2,2_CLOSES_BELOW,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,21.73,24.26,False,,,
BW,2026-03-20,15.18,3,11,AVOID,648.6,641.4,True,UPTREND,,-107.0,-2.4,-6.2,,,False,False,False,OK,Specialty Industrial Machinery,Industrials,,,,81.2,207.8,436.3,1718.5,0.0234,0.0234,True,True,True,6.45,15.18,True,135.5,-6.5,6676.8,True,16.24,0.22,Unclear,1,0.0,15.18,2026-03-16,15.18,2026-03-16,True,"[None, None, None]",False,,,,False,,False,0,,10.07,10.67,6.0,False,False,[],"[{'date': '2026-03-11', 'close_position_pct': 86.9}, {'date': '2026-03-16', 'close_position_pct': 91.8}, {'date': '2026-03-19', 'close_position_pct': 98.5}]",[],UPSIDE_REVERSAL,,15.18,True,,,,,,NOT_AVAILABLE,,,15.26,14.72,3.5,≥1.5x 50-day average,TRIGGERED_WEAK_VOL,2026-03-19,1.04,925.9,14129.0,13.68,12.4,10.29,,11.0,22.4,47.5,,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,14.12,False,74.1,1.71,81.5
BDSX,2026-03-20,14.88,4,11,AVOID,648.6,641.4,True,UPTREND,,-59.2,40.8,-39.8,,,False,False,True,OK,Diagnostics & Research,Healthcare,,,,2.6,132.1,95.3,-5.7,0.0229,0.0279,False,False,True,9.27,14.88,True,60.4,-26.4,332.4,True,20.21,3.44,Unclear,3,-20.8,18.78,2026-03-02,14.88,2026-03-16,True,"[None, None, None]",False,,584593.0,,False,,False,0,,13.16,11.3,-14.1,False,False,"[{'date': '2026-03-10', 'vol_ratio': 0.06}, {'date': '2026-03-11', 'vol_ratio': 0.08}, {'date': '2026-03-16', 'vol_ratio': 0.06}]","[{'date': '2026-03-09', 'close_position_pct': 81.1}, {'date': '2026-03-11', 'close_position_pct': 82.7}]",[],INSIDE_BAR,14.73,18.78,False,18.81,14.73,21.7,INSIDE_BAR,2026-03-16,WATCHING,122.5,2305.0,18.87,18.22,3.4,≥1.5x 50-day average,WATCHING,,,769.2,14515.0,16.55,15.8,12.58,14.73,-10.1,-5.9,18.2,1.0,2_CLOSES_BELOW,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,17.4,17.45,False,,,
BKV,2026-03-20,29.1,6,11,NOT_READY,648.6,641.4,True,UPTREND,,-210.3,53.0,19.4,,,True,False,True,OK,Oil & Gas E&P,Energy,,,,-1.8,13.6,23.6,19.2,0.0449,0.0457,True,True,True,26.31,29.1,True,10.6,-11.3,94.0,True,32.81,15.0,Flat Base,5,-8.5,31.42,2026-02-16,28.75,2026-03-09,True,"[None, None, None]",False,5356991.0,6039233.0,0.89,False,104.8,False,0,,3.77,4.4,16.7,False,False,[],"[{'date': '2026-03-18', 'close_position_pct': 78.6}]",[],UPSIDE_REVERSAL,28.93,31.42,False,29.09,28.93,0.6,UPSIDE_REVERSAL,2026-03-18,TRIGGERED,3125.0,90906.0,31.58,30.48,3.5,≥1.5x 50-day average,WATCHING,,,454.5,14353.0,29.15,29.45,29.09,28.93,-0.2,-1.2,0.0,0.6,2_CLOSES_BELOW,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,26.91,29.21,False,,,
