ticker,longName,ROCE (3yr avg),NFAT (3yr avg),SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),Interest coverage,tax %,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,p/s,d/e,d/e_market,FCF%,FCF/CFO,3-5yr Average ROA (%),3-5yr Average ROE (%),moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,ma_pct,ma_distance_bonus,macd_pct,macd_crossover_bonus,rsi_pct,vwma_pct,vwma_volume_bonus,fundamental_total_score,technical_total_score,combined_score
LRCX,Lam Research Corporation,36.453,8.85,166.026,26.876,8.85,17.745,77.267,33.114,10.069,1.044,28.585,48.076,1.879,8.2,2.286,5.863,13.95,0.525,0.016,101.043,0.893,24.747,59.891,228.36,224.606,225.935,152.015,True,True,True,1.671,1.073,50.222,3,3,BUY - Ideal pullback entry,-0.06,-1.046,0.986,True,False,True,True,True,2.0,2,3,STRONG BUY - Fresh crossover (2 days ago),52.932,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,228.36,224.344,True,False,False,26127650.0,11284747.5,2.315,9407566.667,16179783.333,1,3,HOLD - Above VWMA but watch volume,100.0,30.0,0.0,90.0,86.7,100.0,5,66.7,5,100.0,33.3,0,62,78.333,66.9
RSI,"Rush Street Interactive, Inc.",0.85,89.923,-83.468,0.182,89.923,100.0,-1.0,,768.192,-9.661,8.778,69.0,1.56,0.0,24.194,inf,4.248,0.078,0.003,395.232,0.751,-2.394,-14.866,20.7,20.231,18.811,18.285,True,True,True,2.318,10.043,13.209,3,3,BUY - Ideal pullback entry,0.622,0.645,-0.024,False,True,False,False,False,,1,3,AVOID - Bearish momentum,59.401,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,20.7,20.107,True,True,False,960711.0,1700690.55,0.565,1471225.0,1482802.2,2,3,HOLD - Above VWMA but watch volume,12.0,35.0,0.0,35.0,46.7,100.0,5,33.3,0,100.0,66.7,0,24,71.667,38.3
KEYS,"Keysight Technologies, Inc.",15.399,5.341,59.35,15.83,5.341,25.206,100.0,9.125,19.686,1.375,9.17,51.017,1.786,-7.63,-0.278,-6.686,8.385,0.544,0.058,150.706,0.788,10.396,19.763,277.53,288.762,248.951,193.736,True,True,True,-3.89,11.48,43.252,3,3,STRONG BUY - At MA support,9.494,12.711,-3.217,False,True,False,False,False,,1,3,AVOID - Bearish momentum,52.716,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,277.53,290.84,False,True,False,1661669.0,2095993.45,0.793,1358100.0,1436233.8,1,3,"AVOID - Below VWMA, weak support",60.0,15.0,0.0,85.0,86.7,100.0,5,33.3,0,100.0,33.3,0,48,66.667,53.6
EXE,Expand Energy Corporation,10.568,0.553,5.226,9.707,0.553,0.0,97.384,11.791,20.289,1.495,6.521,14.177,7.051,-41.701,2.128,-0.34,2.217,0.288,0.196,90.379,0.993,12.805,20.872,107.32,106.437,105.708,105.642,True,True,True,0.829,1.525,1.589,3,3,BUY - Ideal pullback entry,0.379,0.288,0.091,True,True,True,False,False,,3,3,HOLD - Bullish but watch for weakening,52.035,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,107.32,106.523,True,True,True,7974005.0,4006965.25,1.99,5553866.667,4142200.833,3,3,STRONG BUY - Institutional accumulation,28.0,15.0,55.0,100.0,100.0,100.0,5,100.0,0,100.0,100.0,5,56,95.0,67.7
TER,"Teradyne, Inc.",20.035,5.224,58.02,17.79,5.224,21.59,85.67,100.585,12.139,1.11,14.939,87.075,1.217,-8.347,0.368,-10.432,14.273,0.1,0.006,81.294,0.7,13.959,19.163,290.83,306.011,280.301,172.032,True,True,True,-4.961,3.756,69.056,3,3,STRONG BUY - At MA support,2.173,5.351,-3.178,False,True,False,False,False,,1,3,AVOID - Bearish momentum,47.779,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,290.83,304.845,False,False,False,4409111.0,3426465.55,1.287,2633616.667,3177203.667,0,3,"AVOID - Below VWMA, weak support",68.0,15.0,0.0,85.0,73.3,100.0,5,33.3,0,66.7,0.0,0,48,55.0,50.1
STX,Seagate Technology Holdings plc,15.727,4.388,-5.511,4.699,4.388,18.884,64.849,5.966,2.908,1.573,18.982,49.014,1.595,,-7.944,,9.159,-3.35,0.054,55.684,0.604,-1.016,36.079,411.23,392.491,386.075,251.54,True,True,True,4.774,6.516,63.485,3,3,BUY - Ideal pullback entry,6.583,2.987,3.595,True,True,True,False,True,4.0,3,3,STRONG BUY - Fresh crossover (4 days ago),54.204,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,411.23,393.891,True,False,False,8353671.0,3570073.55,2.34,3186166.667,4747590.333,1,3,HOLD - Above VWMA but watch volume,48.0,15.0,0.0,75.0,73.3,100.0,5,100.0,5,100.0,33.3,0,41,85.0,54.2
SLAB,Silicon Laboratories Inc.,-6.365,5.158,-110.822,-15.123,5.158,32.817,100.0,-72.35,-12.079,-0.619,-5.309,inf,-0.955,0.0,-8.491,inf,8.665,0.022,0.004,-101.354,0.639,-8.121,-9.666,206.25,204.083,183.486,146.914,True,True,True,1.062,12.407,40.389,3,3,BUY - Ideal pullback entry,5.194,6.627,-1.433,False,True,False,True,False,,1,3,AVOID - Bearish momentum,70.877,False,True,False,Overbought,1,3,"WAIT - Overbought, pullback likely",206.25,204.046,True,False,True,651889.0,683194.45,0.954,483014.833,481666.667,2,3,BUY - Good volume support,12.0,0.0,0.0,50.0,13.3,100.0,5,33.3,0,33.3,66.7,5,15,63.333,29.5
MRVL,"Marvell Technology, Inc.",3.448,6.448,-99.295,0.097,6.448,100.0,112.64,6.606,12.358,8.851,13.215,29.109,3.474,0.0,11.45,inf,9.379,0.357,0.062,52.129,0.158,-4.269,-6.195,87.91,84.957,82.203,80.246,True,True,True,3.476,6.943,9.551,3,3,BUY - Ideal pullback entry,2.367,2.087,0.28,True,True,True,False,False,,3,3,HOLD - Bullish but watch for weakening,54.56,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,87.91,86.055,True,True,False,25110371.0,21921158.55,1.145,17467975.0,17626054.2,2,3,HOLD - Above VWMA but watch volume,12.0,15.0,10.0,70.0,60.0,100.0,5,100.0,0,100.0,66.7,0,31,85.0,47.2
LB,LandBridge Company LLC,11.261,0.251,-108.452,35.492,0.251,2.358,-1188.696,3.623,11.129,2.906,2.918,75.479,1.525,0.0,56.665,inf,28.363,0.0,0.284,405.062,-0.531,5.836,-1.0,70.95,72.257,63.811,59.296,True,True,True,-1.809,11.188,19.653,3,3,BUY - Ideal pullback entry,2.754,3.369,-0.615,False,True,False,False,False,,1,3,AVOID - Bearish momentum,52.167,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,70.95,72.565,False,True,False,605133.0,530211.65,1.141,483075.0,523426.6,1,3,"AVOID - Below VWMA, weak support",16.0,35.0,0.0,55.0,73.3,100.0,5,33.3,0,100.0,33.3,0,33,66.667,43.1
CF,"CF Industries Holdings, Inc.",16.903,0.923,2.299,21.352,0.923,12.632,75.772,16.379,19.696,1.542,10.805,14.002,7.581,-18.272,-14.125,-0.766,2.75,0.729,0.189,123.78,0.546,9.882,25.543,124.9,112.794,99.597,89.085,True,True,True,10.733,25.405,40.203,3,3,WAIT - Extended above MA,8.479,7.815,0.664,True,True,True,False,False,,3,3,HOLD - Bullish but watch for weakening,64.379,True,True,True,Bullish,3,3,BUY - Acceptable zone,124.9,117.988,True,True,False,16402046.0,6604092.3,2.484,8323075.0,9118489.2,2,3,HOLD - Above VWMA but watch volume,56.0,15.0,55.0,100.0,86.7,100.0,0,100.0,0,100.0,66.7,0,61,80.0,66.7
